FAULT LATITUDE & LONGITUDE DATA - ALL INDIA SEISAT SHEETS (COMPILED),,,,,,
SEISAT SHEET,FAULT TYPE,S.NO,FAULT NAME,ABBREVIATION,LONGITUDE,LATITUDE
SEISAT-21,NEOTECTONIC FAULT,1,GAVLIGARH FAULT,9d,79.5,22.2
SEISAT-21,NEOTECTONIC FAULT,2,SON NARMADA FAULT,5g,78,22.55
SEISAT-21,NEOTECTONIC FAULT,2,SON NARMADA FAULT,5g,78.5,22.6
SEISAT-21,NEOTECTONIC FAULT,2,SON NARMADA FAULT,5g,79,22.75
SEISAT-21,NEOTECTONIC FAULT,2,SON NARMADA FAULT,5g,79.45,22.8
SEISAT-21,NEOTECTONIC FAULT,2,SON NARMADA FAULT,5g,79.7,23
SEISAT-21,NEOTECTONIC FAULT,2,SON NARMADA FAULT,5g,79.9,23.1
SEISAT-21,NEOTECTONIC FAULT,3,SON NARMADA FAULT,5h,80,23.2
SEISAT-21,NEOTECTONIC FAULT,3,SON NARMADA FAULT,5h,80.3,23.3
SEISAT-21,NEOTECTONIC FAULT,3,SON NARMADA FAULT,5h,80.5,23.5
SEISAT-21,NEOTECTONIC FAULT,4,SON NARMADA FAULT,5i,80.51,23.52
SEISAT-21,NEOTECTONIC FAULT,4,SON NARMADA FAULT,5i,80.6,23.6
SEISAT-21,NEOTECTONIC FAULT,5,SON NARMADA FAULT,5j,80.62,23.61
SEISAT-21,NEOTECTONIC FAULT,5,SON NARMADA FAULT,5j,80.89,23.7
SEISAT-21,NEOTECTONIC FAULT,6,SON NARMADA FAULT,5j,78,22.55
SEISAT-21,NEOTECTONIC FAULT,6,SON NARMADA FAULT,5j,78.3,22.61
SEISAT-21,NEOTECTONIC FAULT,6,SON NARMADA FAULT,5j,78.7,22.7
SEISAT-21,NEOTECTONIC FAULT,6,SON NARMADA FAULT,5j,79,22.78
SEISAT-21,NEOTECTONIC FAULT,6,SON NARMADA FAULT,5j,79.15,22.8
SEISAT-21,NEOTECTONIC FAULT,7,SON NARMADA FAULT,5l,79.53,22.9
SEISAT-21,NEOTECTONIC FAULT,7,SON NARMADA FAULT,5l,79.85,23
SEISAT-21,NEOTECTONIC FAULT,7,SON NARMADA FAULT,5l,79.95,23.05
SEISAT-21,NEOTECTONIC FAULT,8,SON NARMADA FAULT,5m,80,23.05
SEISAT-21,NEOTECTONIC FAULT,8,SON NARMADA FAULT,5m,80.3,23.2
SEISAT-21,NEOTECTONIC FAULT,8,SON NARMADA FAULT,5m,80.55,23.38
SEISAT-21,NEOTECTONIC FAULT,8,SON NARMADA FAULT,5m,80.45,23.3
SEISAT-21,SUB SURFACE FAULT,1,SON NARMADA FAULT,5m,78.1,22.8
SEISAT-21,SUB SURFACE FAULT,1,SON NARMADA FAULT,5m,78.5,22.9
SEISAT-21,SUB SURFACE FAULT,1,SON NARMADA FAULT,5m,78.75,23
SEISAT-21,SUB SURFACE FAULT,1,SON NARMADA FAULT,5m,78.9,23.05
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,1,TAPTI NORTH FAULT,FIBC6,78,22
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,1,TAPTI NORTH FAULT,FIBC6,78.3,22.05
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,1,TAPTI NORTH FAULT,FIBC6,78.7,22.1
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,1,TAPTI NORTH FAULT,FIBC6,79,22.15
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,1,TAPTI NORTH FAULT,FIBC6,79.05,22.18
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,78.9,23.05
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,79,23.1
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,79.1,23.1
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,79.3,23.15
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,79.5,23.3
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,80,23.65
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,80.15,23.72
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,80.2,23.74
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,80.4,23.8
SEISAT-21,FAULT INVOLVING BASEMENT & COVER,2,TAPTI NORTH FAULT,FIBC7,80.4,23.75
